source_country,destination_country,corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,has_tax_treaty,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,tax_treaty_quality,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score
Thailand,Belgium,105.31,283.24,0.48,6.19,0,23.65,24.9058,43.63,58.03,44.25,56.12,39.5,0.933,0.612,0.086,0.009,44.35
France,Italy,331847.48,110.23,8.97,28.74,1,8.16,27078.7544,79.63,46.58,46.58,58.39,82.67,0.532,0.618,0.69,0.904,70.85
Japan,Argentina,0.48,16.62,10.59,14.18,1,5.03,0.0241,83.11,74.34,74.94,57.25,60.02,0.886,0.069,0.993,0.791,29.17
Italy,Netherlands,9546.79,284.88,1.18,18.08,1,27.01,2578.588,53.14,53.0,38.77,42.24,23.4,0.307,0.449,0.458,0.08,52.83
India,United States,13.15,63.89,5.75,11.65,1,8.7,1.1441,83.23,62.79,49.97,63.23,29.38,0.919,0.085,0.811,0.806,40.41
Indonesia,Germany,1.2,241.43,9.39,25.91,0,23.41,0.2809,49.61,71.89,44.48,40.77,54.91,0.139,0.918,0.433,0.686,24.21
Thailand,Italy,2388.7,61.83,9.85,21.25,1,6.71,160.2818,64.88,19.62,49.24,42.14,60.13,0.7,0.703,0.162,0.635,55.45
Portugal,Netherlands,3.37,79.03,4.27,7.22,0,29.2,0.984,42.12,55.63,47.67,44.76,32.61,0.012,0.744,0.681,0.678,31.05
Italy,Argentina,32.12,244.23,4.57,9.01,1,25.33,8.136,34.61,64.74,72.04,49.38,44.72,0.452,0.142,0.317,0.99,36.94
India,Mexico,34643.82,200.22,2.24,17.79,0,5.41,1874.2307,38.23,56.81,40.35,48.19,32.31,0.435,0.852,0.953,0.706,58.18
Belgium,Ethiopia,42204.07,127.82,0.35,9.24,0,12.77,5389.4597,64.88,46.47,35.58,76.31,36.56,0.37,0.246,0.634,0.902,72.07
Spain,South Africa,205584.65,289.81,9.42,17.17,0,20.23,41589.7747,58.77,55.88,41.17,47.66,61.72,0.9,0.947,0.77,0.712,63.31
Kenya,Turkey,3.66,5.9,4.4,18.62,0,28.92,1.0585,60.46,58.95,36.03,46.24,36.83,0.524,0.504,0.298,0.204,31.16
Vietnam,France,38.06,233.86,11.92,13.4,1,14.29,5.4388,44.19,39.41,59.47,55.51,57.42,0.553,0.369,0.646,0.396,44.93
United Kingdom,Netherlands,18.54,228.16,0.66,15.35,0,28.17,5.2227,22.17,37.59,25.08,39.17,71.05,0.062,0.416,0.207,0.159,36.76
Egypt,Turkey,0.25,206.64,0.49,19.29,0,6.05,0.0151,89.89,43.02,27.85,33.43,48.08,0.715,0.415,0.491,0.349,25.41
Portugal,China,60.29,49.92,0.29,18.83,1,12.42,7.488,69.32,51.86,56.09,35.65,58.85,0.672,0.77,0.933,0.206,35.8
Switzerland,Nigeria,160903.35,246.27,4.46,1.63,0,27.11,43620.8982,42.2,44.11,50.06,54.84,22.58,0.754,0.921,0.938,0.078,67.82
United States,United Arab Emirates,100037.27,284.3,11.18,9.1,1,18.43,18436.8689,43.33,62.91,14.99,65.31,80.1,0.142,0.457,0.637,0.952,66.88
Kenya,Brazil,0.13,30.4,2.97,26.09,1,19.52,0.0254,50.93,46.81,61.83,45.23,47.13,0.044,0.063,0.802,0.024,29.08
Turkey,Argentina,47041.1,298.77,0.72,16.9,1,16.25,7644.1788,77.5,47.58,62.16,62.12,46.01,0.541,0.321,0.984,0.767,66.48
Ethiopia,Poland,71.58,288.61,1.22,7.6,0,13.97,9.9997,72.46,49.29,60.47,33.95,31.44,0.159,0.799,0.082,0.419,36.13
United Kingdom,Belgium,0.53,6.19,11.23,19.94,0,22.1,0.1171,58.07,71.85,30.46,58.22,67.94,0.752,0.106,0.188,0.001,30.15
Canada,Ethiopia,1.02,26.3,11.41,7.26,1,8.7,0.0887,63.42,46.15,21.13,44.16,61.83,0.945,0.662,0.304,0.619,30.47
United Kingdom,Ethiopia,690389.58,152.5,4.35,7.67,1,8.32,57440.4131,49.77,53.27,42.2,57.25,69.51,0.475,0.544,0.455,0.749,71.17
United Kingdom,Italy,14.75,234.26,10.28,6.5,1,21.11,3.1137,48.91,37.29,64.15,47.16,40.12,0.253,0.118,0.04,0.601,39.39
Germany,South Africa,237.15,78.47,4.77,22.34,0,6.1,14.4662,46.17,65.77,28.4,51.59,50.37,0.947,0.563,0.525,0.694,43.33
Kenya,United Kingdom,8.96,169.4,5.18,1.96,1,12.11,1.0851,46.75,32.7,43.56,45.58,64.23,0.557,0.478,0.04,0.202,38.35
Philippines,India,40.09,155.51,0.34,15.74,1,3.68,1.4753,68.15,59.42,33.69,37.04,71.45,0.541,0.804,0.068,0.513,33.69
Turkey,Vietnam,75578.22,111.71,2.86,7.87,0,6.07,4587.598,37.23,56.67,71.76,49.31,58.9,0.51,0.407,0.497,0.075,60.91
Ireland,France,8537.3,234.23,9.32,1.2,1,13.37,1141.437,70.82,57.25,60.57,45.77,41.65,0.695,0.923,0.091,0.49,53.07
Germany,Russia,2534.25,280.58,10.52,17.83,0,27.65,700.7201,64.65,50.68,56.93,59.11,56.33,0.891,0.139,0.543,0.321,56.2
Brazil,Australia,11807.25,263.46,7.74,6.17,1,19.28,2276.4378,46.81,46.61,62.61,75.76,34.15,0.984,0.003,0.991,0.584,68.13
South Africa,Saudi Arabia,0.23,131.17,11.78,17.86,1,10.01,0.023,40.68,39.68,27.89,52.44,30.04,0.423,0.04,0.72,0.284,33.64
Saudi Arabia,Ireland,29.84,74.73,0.47,17.52,0,29.16,8.7013,38.27,66.28,23.84,47.89,62.68,0.242,0.61,0.671,0.435,35.83
Argentina,Nigeria,4.22,254.95,5.02,13.32,0,14.61,0.6165,56.09,62.83,44.24,59.67,42.04,0.838,0.607,0.378,0.788,36.09
Philippines,Saudi Arabia,5.51,90.75,2.92,18.01,1,11.52,0.6348,48.2,39.08,41.17,43.66,66.94,0.437,0.348,0.219,0.585,35.07
South Africa,United Kingdom,714711.01,112.55,9.18,2.7,0,22.38,159952.324,41.84,58.94,32.47,58.77,52.67,0.232,0.092,0.942,0.176,70.75
China,Turkey,0.13,288.6,7.31,2.31,0,24.58,0.032,65.99,45.37,24.46,54.07,41.54,0.813,0.501,0.847,0.242,32.91
Saudi Arabia,Colombia,5.25,56.67,1.5,7.45,0,14.44,0.7581,47.81,54.58,73.09,54.03,36.06,0.606,0.718,0.503,0.5,36.0
Indonesia,Switzerland,0.64,271.73,4.71,8.99,0,9.97,0.0638,42.7,67.12,19.3,49.6,43.64,0.227,0.439,0.463,0.416,27.85
Canada,Netherlands,41.52,108.41,10.93,26.61,1,11.86,4.9243,52.4,54.35,20.6,44.21,34.66,0.744,0.562,0.448,0.334,37.67
Italy,Netherlands,37.65,241.36,7.11,26.51,1,14.01,5.2748,68.9,60.28,65.38,21.84,32.71,0.144,0.762,0.044,0.012,27.26
South Africa,Vietnam,39473.14,265.53,5.24,17.05,0,6.66,2628.9111,58.21,62.66,42.47,62.05,33.18,0.617,0.979,0.889,0.814,62.93
Belgium,Japan,4723.49,251.43,7.16,20.48,0,5.56,262.626,49.61,61.75,36.75,57.55,34.75,0.224,0.783,0.697,0.506,55.17
Spain,Switzerland,0.37,52.92,5.88,27.85,0,28.15,0.1042,36.85,52.03,74.4,47.87,73.89,0.396,0.214,0.336,0.598,29.65
Canada,France,0.38,222.54,1.97,12.86,0,24.84,0.0944,37.02,51.4,71.88,30.63,88.07,0.088,0.165,0.04,0.0,22.9
Philippines,Ethiopia,0.57,180.04,7.46,15.78,1,15.4,0.0878,63.58,42.99,29.91,55.23,55.11,0.453,0.952,0.93,0.794,34.8
Nigeria,Turkey,169.44,212.45,0.63,1.76,0,29.96,50.7642,43.94,41.06,71.37,59.85,34.67,0.729,0.303,0.391,0.345,50.61
Russia,Thailand,2.02,151.8,7.97,11.92,1,19.68,0.3975,73.33,73.72,16.99,40.14,22.3,0.876,0.335,0.278,0.202,24.51
India,Indonesia,9540.18,241.06,4.6,0.08,1,17.98,1715.3244,40.9,59.09,56.11,54.71,35.75,0.77,0.731,0.997,0.456,56.6
Germany,Kenya,64101.68,128.09,5.67,26.53,0,25.87,16583.1046,51.37,68.77,14.42,49.33,62.54,0.822,0.239,0.535,0.899,58.02
Switzerland,United Arab Emirates,299.54,176.15,6.5,16.57,0,28.14,84.2906,48.76,38.79,44.62,47.38,63.8,0.731,0.169,0.729,0.361,47.71
Poland,Ireland,2972.75,27.49,2.04,3.64,0,6.65,197.6879,63.97,56.11,48.08,38.2,62.74,0.614,0.785,0.545,0.25,47.21
France,Germany,1.37,105.92,6.36,20.69,0,28.12,0.3852,55.45,67.34,39.67,71.45,42.0,0.586,0.697,0.781,0.557,37.61
Indonesia,South Africa,199431.48,15.73,2.42,17.13,0,28.35,56538.8246,67.05,70.07,26.8,42.18,70.81,0.494,0.996,0.835,0.317,58.19
Netherlands,United Kingdom,102470.39,21.2,3.74,28.92,0,25.39,26017.232,73.89,73.03,22.68,44.27,59.54,0.185,0.093,0.113,0.975,56.51
Australia,Brazil,1083.63,176.76,1.13,1.47,1,10.88,117.8989,76.36,56.59,60.13,31.74,51.17,0.041,0.919,0.069,0.949,41.61
Kenya,United Kingdom,192.56,111.53,6.6,7.93,0,9.21,17.7348,72.53,40.8,74.44,63.58,11.68,0.99,0.005,0.188,0.548,52.52
Thailand,South Africa,59590.58,91.35,1.81,29.21,1,6.64,3956.8145,46.89,63.05,18.89,40.63,77.51,0.184,0.641,0.998,0.745,55.48
Singapore,Nigeria,8.63,38.22,0.23,6.31,0,5.34,0.4608,23.73,64.72,56.8,50.08,73.89,0.202,0.635,0.662,0.49,33.65
Russia,India,107.91,51.79,9.42,25.01,1,7.47,8.0609,30.43,49.98,31.78,43.27,64.87,0.201,0.864,0.438,0.133,40.89
Thailand,Egypt,804362.52,167.77,7.77,4.34,1,11.55,92903.8711,58.6,63.46,39.58,53.35,46.58,0.758,0.668,0.183,0.497,68.02
United States,Italy,23958.07,232.06,5.15,10.24,1,6.98,1672.2733,49.65,75.04,41.33,50.73,39.44,0.625,0.89,0.532,0.493,54.48
Germany,Canada,903.88,45.41,5.05,1.32,1,23.77,214.8523,61.88,37.78,50.44,60.67,41.95,0.991,0.643,0.612,0.094,56.42
Turkey,United Kingdom,214.83,86.74,2.17,22.72,0,17.24,37.0367,90.26,34.51,74.62,67.07,40.31,0.556,0.164,0.193,0.822,55.49
Brazil,South Africa,61793.42,63.31,3.68,1.84,1,7.4,4572.7131,47.03,57.03,45.21,47.85,16.41,0.008,0.375,0.764,0.212,59.67
Egypt,China,7.29,158.48,6.75,20.31,1,4.96,0.3616,72.92,64.73,35.92,62.32,82.84,0.772,0.02,0.875,0.115,38.11
Egypt,Poland,443545.63,38.38,5.86,27.28,0,9.49,42092.4803,67.46,45.33,23.4,48.03,27.94,0.261,0.549,0.14,0.79,67.79
Japan,Argentina,0.32,217.67,6.65,22.13,1,16.96,0.0543,50.91,35.72,32.55,48.37,53.97,0.808,0.586,0.784,0.539,33.01
United States,Japan,829507.54,97.29,8.13,23.84,1,7.2,59724.5429,54.94,55.38,45.11,45.91,67.12,0.788,0.314,0.049,0.662,66.75
Spain,France,33.91,157.19,6.45,12.16,0,8.73,2.9603,34.57,63.74,42.35,51.14,50.02,0.053,0.208,0.787,0.017,37.99
Belgium,Brazil,0.76,22.91,9.66,27.84,1,15.93,0.1211,86.32,65.96,52.12,34.59,44.27,0.194,0.718,0.673,0.142,22.28
China,Belgium,999.87,202.5,8.82,12.23,0,26.99,269.8649,58.28,56.59,27.76,51.76,50.99,0.945,0.632,0.873,0.187,49.39
Indonesia,Spain,637.21,60.15,2.46,25.96,0,16.75,106.7327,68.89,62.79,18.28,55.64,56.12,0.697,0.519,0.61,0.697,48.4
Netherlands,United Arab Emirates,895121.9,90.96,2.61,6.48,1,16.43,147068.5282,57.78,64.74,54.52,46.12,61.12,0.124,0.048,0.493,0.135,65.18
United Kingdom,Vietnam,96315.18,218.39,11.48,27.54,1,8.18,7878.5817,50.55,58.86,60.43,46.34,53.65,0.029,0.107,0.924,0.244,59.99
Ethiopia,Russia,12729.99,247.8,7.23,28.81,1,14.61,1859.8515,60.45,58.17,65.91,38.54,64.32,0.109,0.292,0.139,0.997,51.15
China,Nigeria,1761.89,154.23,1.07,13.54,1,5.74,101.1325,41.13,52.73,34.63,47.53,53.77,0.238,0.936,0.096,0.746,50.11
United Kingdom,South Africa,132985.3,21.34,10.64,10.84,1,4.04,5372.6061,41.57,40.54,47.09,54.78,80.12,0.817,0.509,0.424,0.561,67.96
Belgium,Russia,10.78,289.12,1.57,9.12,0,29.63,3.1941,50.81,71.13,45.4,55.3,47.86,0.124,0.102,0.507,0.993,35.03
Netherlands,Brazil,350534.82,215.82,5.55,7.66,0,19.95,69931.6966,68.08,77.52,66.84,48.61,53.52,0.676,0.761,0.784,0.579,60.9
Japan,Spain,906.52,91.85,9.31,26.62,0,27.26,247.1174,62.64,58.78,50.83,45.86,44.66,0.023,0.558,0.892,0.642,46.31
Ireland,Egypt,436.47,70.02,8.11,18.07,1,18.54,80.9215,62.16,34.44,62.19,56.98,44.7,0.902,0.566,0.406,0.763,53.51
Saudi Arabia,France,30563.7,117.82,4.66,12.21,0,10.42,3184.7375,54.06,74.42,45.62,51.2,89.12,0.843,0.777,0.85,0.272,55.5
China,Kenya,18464.18,5.29,8.08,15.42,1,8.03,1482.6737,72.85,34.95,55.86,47.44,45.74,0.945,0.375,0.073,0.738,60.43
Brazil,Belgium,2.35,176.83,5.43,12.33,0,14.21,0.3339,64.1,51.88,74.23,51.25,30.29,0.412,0.13,0.492,0.625,33.62
United Arab Emirates,China,907.72,280.08,0.99,23.33,0,18.1,164.2973,33.88,57.44,39.21,55.0,36.82,0.961,0.109,0.899,0.164,50.23
India,Thailand,0.61,226.35,3.01,15.4,1,16.26,0.0992,41.19,35.99,57.09,55.32,19.05,0.323,0.141,0.275,0.995,36.31
Russia,Canada,61.45,162.58,11.15,27.15,1,6.16,3.7853,20.86,47.29,54.84,58.55,58.94,0.42,0.573,0.438,0.758,45.93
Poland,Turkey,136930.89,255.18,2.29,20.45,1,10.7,14651.6052,62.83,59.31,48.03,47.48,51.69,0.061,0.861,0.86,0.015,61.37
Japan,France,4096.13,55.43,2.84,10.48,0,14.83,607.4561,70.5,43.19,62.67,51.69,43.54,0.174,0.982,0.955,0.558,56.12
Turkey,Mexico,2312.38,164.85,9.44,26.04,0,27.96,646.5414,88.02,61.35,58.44,51.44,36.76,0.648,0.298,0.066,0.084,50.73
Portugal,Colombia,545770.35,226.6,0.62,19.64,0,9.48,51739.0292,60.62,48.8,61.19,44.93,59.37,0.063,0.628,0.15,0.624,66.46
Japan,Singapore,17.41,175.16,6.03,22.49,1,3.31,0.5763,73.55,71.94,57.93,44.71,60.03,0.332,0.457,0.176,0.746,31.93
Brazil,Belgium,56.52,180.11,2.51,10.59,1,10.11,5.7142,81.24,73.77,63.78,52.87,43.34,0.103,0.405,0.761,0.722,38.13
Spain,Thailand,1.49,174.76,4.96,17.67,0,20.2,0.301,59.47,47.46,64.61,49.3,38.74,0.95,0.559,0.825,0.224,32.87
Australia,Portugal,58925.06,26.98,10.02,27.42,1,9.18,5409.3205,52.08,39.86,36.0,51.14,35.21,0.202,0.217,0.728,0.951,64.29
Argentina,Italy,0.21,288.14,3.34,25.4,0,24.24,0.0509,41.22,65.72,61.45,57.35,70.18,0.758,0.007,0.767,0.402,30.35
Ireland,Mexico,81.77,286.89,10.4,17.51,1,9.83,8.038,37.25,55.89,45.49,50.95,88.94,0.965,0.797,0.129,0.958,41.99
Mexico,Spain,0.15,280.11,0.27,1.18,0,14.31,0.0215,43.27,75.95,57.71,29.68,65.15,0.006,0.34,0.182,0.1,17.09
Belgium,Thailand,50.21,187.89,8.66,4.32,0,27.47,13.7927,64.03,65.86,62.02,58.34,46.09,0.95,0.07,0.106,0.134,41.56
Japan,India,2445.59,189.1,0.9,22.15,0,15.38,376.1317,47.39,58.39,33.41,40.47,37.46,0.35,0.464,0.136,0.155,47.1
Japan,France,377.14,233.78,8.1,13.61,0,14.81,55.8544,45.12,37.07,75.38,52.67,69.53,0.655,0.967,0.577,0.567,50.84
China,Canada,13478.32,240.82,7.96,17.56,1,16.52,2226.6185,41.69,56.99,40.42,59.04,35.74,0.489,0.645,0.29,0.942,59.75
Russia,Ethiopia,1898.85,218.88,2.33,13.4,1,19.28,366.0983,38.0,75.55,52.93,43.22,16.63,0.138,0.951,0.675,0.972,44.04
United Arab Emirates,Ireland,2.08,16.11,0.72,22.83,1,19.8,0.4118,67.28,55.81,34.98,60.76,39.67,0.637,0.394,0.769,0.202,36.4
Thailand,France,50432.34,257.28,6.97,3.28,0,26.8,13515.8671,81.9,56.29,82.36,53.83,61.27,0.664,0.092,0.057,0.823,61.63
Kenya,France,2.97,180.08,1.3,29.02,0,20.83,0.6187,40.14,79.27,29.68,45.61,29.3,0.673,0.116,0.618,0.032,26.38
Belgium,Argentina,336369.71,63.4,7.55,21.89,0,9.81,32997.8686,28.06,50.31,36.34,61.29,25.04,0.09,0.023,0.86,0.576,71.3
Netherlands,Thailand,0.8,252.8,7.18,21.02,1,6.94,0.0555,69.46,62.58,53.4,44.34,63.9,0.823,0.776,0.935,0.55,26.92
Singapore,Nigeria,84022.34,81.51,1.08,22.28,0,29.75,24996.6461,61.43,35.97,52.13,34.74,21.12,0.431,0.862,0.65,0.901,59.53
China,India,3.57,214.55,3.57,7.49,0,14.08,0.5027,82.78,64.52,53.17,61.15,16.15,0.348,0.285,0.137,0.81,35.96
United Kingdom,Ireland,0.26,39.96,9.45,3.68,0,27.79,0.0723,53.4,43.07,57.38,53.29,8.93,0.67,0.448,0.704,0.463,33.37
Argentina,Canada,5.32,141.27,2.9,2.39,0,12.19,0.6485,82.48,25.1,49.48,51.56,87.11,0.676,0.447,0.561,0.334,40.94
South Africa,Philippines,1.25,243.91,11.28,27.66,1,8.84,0.1105,26.99,31.6,25.95,36.84,61.38,0.965,0.627,0.486,0.467,30.76
Russia,Turkey,641.43,282.74,1.0,21.45,1,9.21,59.0757,60.76,38.03,55.07,41.78,36.83,0.913,0.783,0.463,0.439,47.82
Ireland,Netherlands,0.52,272.88,11.47,4.45,1,5.33,0.0277,39.38,52.38,58.02,44.94,64.61,0.912,0.996,0.165,0.431,28.71
United States,Nigeria,186.59,157.09,9.87,16.22,0,15.27,28.4923,74.83,69.14,53.18,59.73,36.36,0.369,0.702,0.585,0.901,45.22
Argentina,United States,13082.69,163.56,7.59,28.94,0,26.29,3439.4392,93.78,54.47,54.09,41.63,44.7,0.571,0.44,0.812,0.26,53.2
Kenya,France,63339.48,58.05,2.43,16.9,1,5.1,3230.3135,36.69,73.43,48.62,56.92,55.6,0.726,0.392,0.05,0.043,60.09
Russia,France,33948.16,129.94,4.38,1.32,0,12.1,4107.7274,74.29,51.8,67.91,54.14,23.12,0.182,0.64,0.61,0.384,61.5
Mexico,United States,7.24,155.95,1.99,13.32,0,7.56,0.5473,54.37,56.96,57.27,45.15,67.67,0.222,0.535,0.137,0.259,32.77
Belgium,Argentina,1635.3,25.1,0.46,24.99,0,10.36,169.4171,75.19,67.75,81.54,51.62,31.69,0.108,0.213,0.044,0.255,48.52
Spain,United States,234459.75,111.29,11.48,22.51,1,7.54,17678.2651,23.4,35.77,40.69,53.05,54.77,0.912,0.748,0.753,0.63,69.87
India,Philippines,170.64,167.59,1.34,2.39,1,20.82,35.5272,29.73,38.1,67.34,55.47,53.47,0.699,0.582,0.567,0.689,49.47
Russia,Italy,42174.99,19.54,1.66,4.04,0,22.19,9358.6303,56.08,36.52,47.47,41.77,27.82,0.538,0.771,0.709,0.126,60.24
Indonesia,United Arab Emirates,44.97,7.27,0.49,19.68,1,7.42,3.3368,48.05,76.56,60.94,57.66,58.1,0.41,0.327,0.315,0.865,38.84
Poland,United States,996.49,235.84,3.84,9.57,0,17.66,175.9801,48.29,43.99,56.08,57.88,49.04,0.289,0.108,0.009,0.932,54.35
Australia,Brazil,1.16,58.41,9.19,13.56,1,11.04,0.1281,63.35,36.05,58.55,51.79,56.03,0.957,0.533,0.979,0.015,35.74
Philippines,Kenya,9479.15,297.53,1.71,26.24,0,27.06,2565.058,75.59,60.73,61.31,45.23,56.88,0.147,0.111,0.884,0.342,52.46
Thailand,Poland,0.22,168.46,11.69,19.07,1,14.64,0.0322,39.23,49.94,42.86,69.38,39.89,0.945,0.254,0.87,0.846,38.34
South Africa,Japan,348805.51,295.49,3.57,16.12,1,13.54,47228.2661,50.17,57.47,42.29,47.23,52.92,0.868,0.555,0.714,0.655,64.35
Thailand,Turkey,61222.49,80.2,8.63,5.83,1,17.25,10560.8795,53.55,58.79,52.41,54.24,59.93,0.788,0.74,0.287,0.905,61.85
Brazil,Saudi Arabia,6.01,275.45,11.48,7.85,1,17.83,1.0716,81.61,53.42,67.62,55.47,32.5,0.726,0.32,0.512,0.255,37.14
Mexico,Belgium,399.44,50.73,10.66,20.72,0,29.63,118.3541,70.65,46.52,82.15,32.27,42.7,0.54,0.964,0.557,0.226,40.95
Turkey,Canada,1.14,38.26,7.82,16.49,0,25.42,0.2898,84.81,55.66,32.0,41.45,60.27,0.015,0.23,0.434,0.115,27.65
Ireland,Kenya,10093.96,40.9,6.66,24.53,0,24.92,2515.4148,53.24,60.72,32.03,51.59,66.41,0.421,0.751,0.866,0.589,55.19
United Kingdom,India,2.45,233.06,0.4,25.06,1,2.75,0.0674,52.77,66.08,40.41,55.51,83.86,0.39,0.269,0.868,0.709,32.57
Egypt,Netherlands,0.1,136.87,4.02,11.96,1,10.3,0.0103,49.33,47.71,53.67,51.48,47.25,0.159,0.607,0.52,0.635,31.33
Ethiopia,Germany,35.37,114.44,7.18,5.42,1,11.15,3.9438,55.45,61.02,57.41,42.85,70.2,0.577,0.831,0.006,0.944,35.34
Singapore,Germany,30743.66,111.56,6.22,29.15,0,16.42,5048.109,55.45,52.34,54.01,49.84,49.9,0.609,0.592,0.943,0.334,59.39
Russia,Indonesia,7.32,43.91,9.92,10.4,1,21.06,1.5416,39.59,47.07,44.65,27.29,49.19,0.05,0.632,0.053,0.172,27.64
Kenya,Brazil,332.42,276.27,7.41,26.62,1,7.18,23.8678,78.47,43.86,52.29,45.68,35.01,0.924,0.795,0.562,0.698,46.32
Indonesia,India,1874.69,253.93,10.65,3.28,0,15.69,294.1389,44.62,67.36,38.99,58.36,39.88,0.594,0.68,0.654,0.877,51.69
Italy,Netherlands,3.88,195.53,9.61,15.66,1,13.63,0.5288,52.27,65.09,72.3,50.79,29.77,0.141,0.474,0.725,0.071,31.89
Malaysia,Ireland,4445.44,123.97,8.28,2.06,1,24.2,1075.7965,52.2,68.59,57.22,40.17,31.57,0.435,0.745,0.251,0.3,46.67
Switzerland,Brazil,16.8,72.22,11.07,23.93,1,6.72,1.129,34.81,40.24,35.01,52.36,53.44,0.206,0.183,0.766,0.107,41.23
United States,Canada,168415.67,34.42,1.18,3.0,1,28.33,47712.1593,29.28,55.29,35.11,29.88,22.1,0.234,0.818,0.001,0.083,55.74
Italy,Malaysia,126899.69,22.56,2.06,12.53,0,7.77,9860.1059,43.51,71.4,42.98,51.84,57.3,0.283,0.956,0.464,0.551,60.48
Indonesia,United States,247848.91,201.6,9.98,1.44,1,18.76,46496.4555,47.25,37.76,10.16,27.8,60.81,0.612,0.972,0.094,0.221,59.53
Brazil,Poland,32.68,229.19,3.07,11.21,1,12.98,4.2419,42.81,55.91,59.75,37.93,51.56,0.547,0.717,0.479,0.267,34.17
Nigeria,South Africa,981.59,90.25,7.06,28.9,1,3.14,30.8219,58.3,38.87,43.59,47.3,69.81,0.313,0.13,0.582,0.628,51.1
Japan,Egypt,33491.74,95.78,10.3,2.09,0,21.08,7060.0588,63.33,59.7,33.14,47.81,81.91,0.117,0.384,0.896,0.335,57.35
Spain,Ireland,33859.52,165.19,4.01,16.97,0,19.84,6717.7288,45.54,59.62,60.09,30.93,20.86,0.37,0.521,0.596,0.001,50.65
Malaysia,China,3.8,226.82,0.27,5.67,0,24.88,0.9454,47.47,79.14,53.64,42.32,51.33,0.773,0.503,0.589,0.313,25.64
Kenya,China,8469.23,32.79,6.76,1.33,0,24.33,2060.5637,74.85,67.78,48.63,56.68,64.97,0.172,0.509,0.995,0.138,55.3
India,United Arab Emirates,1.75,68.06,3.68,3.82,0,28.64,0.5012,22.8,84.7,53.5,63.28,58.42,0.957,0.577,0.735,0.128,31.3
Saudi Arabia,Japan,3.41,43.7,8.66,14.94,0,7.58,0.2585,53.96,63.31,40.08,46.92,51.18,0.057,0.715,0.398,0.585,30.4
Germany,United States,3650.3,297.25,1.26,20.48,0,14.45,527.4683,58.84,53.64,74.87,37.74,44.6,0.067,0.387,0.119,0.487,48.12
Ireland,Indonesia,605163.92,128.22,11.64,11.8,0,22.51,136222.3984,55.78,46.53,42.57,32.25,46.81,0.431,0.98,0.417,0.009,62.14
Colombia,South Africa,0.81,54.84,1.79,26.46,0,29.22,0.2367,61.21,71.65,40.04,46.62,37.34,0.513,0.886,0.687,0.098,26.04
Turkey,Switzerland,224946.43,214.81,7.96,17.13,1,8.73,19637.8233,31.37,83.08,28.89,49.31,54.58,0.225,0.261,0.079,0.834,58.79
Philippines,United States,41.4,217.04,4.56,14.01,1,10.31,4.2683,41.59,68.29,76.66,59.24,79.5,0.36,0.24,0.931,0.595,40.89
Germany,Mexico,2.89,87.71,1.13,10.3,1,22.22,0.6422,45.36,64.82,39.55,45.72,17.86,0.371,0.381,0.014,0.87,29.26
Australia,Saudi Arabia,1.87,41.15,9.8,1.58,1,13.22,0.2472,72.58,52.93,27.2,56.83,80.4,0.77,0.226,0.686,0.122,35.2
China,Japan,333770.81,28.42,8.81,13.4,1,8.59,28670.9126,76.38,50.3,65.86,68.32,46.78,0.112,0.194,0.692,0.411,74.09
Japan,Egypt,216053.37,141.53,1.76,12.9,1,7.85,16960.1895,20.32,60.76,33.7,65.46,40.17,0.936,0.325,0.484,0.682,69.6
Brazil,Italy,174.5,254.77,2.5,12.76,1,17.12,29.8744,63.36,55.02,16.02,46.24,44.86,0.346,0.709,0.645,0.576,42.45
Turkey,Malaysia,0.78,115.19,7.46,24.82,0,8.71,0.0679,59.76,54.46,56.78,32.65,44.73,0.828,0.782,0.087,0.35,23.84
United Arab Emirates,Ireland,680553.4,18.44,2.41,18.21,0,25.17,171295.2908,42.05,39.94,69.95,69.33,81.5,0.558,0.56,0.794,0.63,78.63
Poland,Russia,28540.06,146.15,4.03,22.61,0,29.49,8416.4637,97.86,28.52,33.33,55.08,41.27,0.56,0.67,0.631,0.184,66.03
United Arab Emirates,Thailand,1.91,267.09,11.92,10.13,1,18.43,0.352,67.89,54.72,45.39,61.26,33.25,0.105,0.236,0.772,0.653,36.65
Germany,Egypt,26508.09,56.48,8.0,15.26,1,7.19,1905.9317,60.01,43.15,70.8,54.23,36.84,0.66,0.368,0.918,0.342,62.55
France,Thailand,1402.73,67.4,3.99,16.41,1,3.9,54.7065,58.98,57.64,39.23,52.84,60.68,0.15,0.073,0.62,0.463,50.59
United Kingdom,Belgium,209.88,26.89,5.23,26.8,0,20.05,42.0809,56.63,69.18,48.6,62.26,9.57,0.352,0.841,0.698,0.309,46.56
Thailand,Spain,14.5,14.11,6.25,21.75,1,7.39,1.0716,17.08,71.3,58.89,39.03,33.87,0.48,0.711,0.309,0.665,29.29
Argentina,Switzerland,156204.89,31.26,9.83,11.57,1,23.37,36505.0828,28.32,36.62,33.87,44.46,26.69,0.186,0.464,0.569,0.38,65.08
